id,distrito,provincia,poblacion
1087,Pichi Mahuida,Río Negro,16551
1460,General Arenales,Buenos Aires,16350
1119,Arauco,La Rioja,16257
1275,San Lorenzo,Chaco,16062
1040,Coronel Pringles,San Luis,16049
1114,Coronel Dorrego,Buenos Aires,15968
1334,Capitán Sarmiento,Buenos Aires,15965
1439,Rosario Vera Peñaloza,La Rioja,15783
1108,Chamical,La Rioja,15666
1203,Bermejo,Formosa,15644
1147,Los Lagos,Neuquén,15555
1488,Graneros,Tucumán,15540
1240,Río Seco,Córdoba,15302
1510,San Martín,Corrientes,15187
1418,Conhelo,La Pampa,15186
1118,Corpen Aike,Santa Cruz,15171
1091,Ojo de Agua,Santiago del Estero,15116
1525,General Donovan,Chaco,15096
1255,Cochinoca,Jujuy,15054
1558,San Martín,San Juan,15037
1471,Atamisqui,Santiago del Estero,14903
1105,Tornquist,Buenos Aires,14810
1193,Tilcara,Jujuy,14721
1348,Fray Mamerto Esquiú,Catamarca,14625
1174,Sarmiento,Chubut,14596
1035,Gobernador Dupuy,San Luis,14343
1523,1° de Mayo,Chaco,14279
1081,General Paz,Buenos Aires,14207
1074,Tulumba,Córdoba,14134
1321,Carlos Tejedor,Buenos Aires,14079
1044,Islas del Ibicuy,Entre Ríos,14000
1328,Roque Pérez,Buenos Aires,13977
1210,Presidencia de la Plaza,Chaco,13956
1531,Libertad,Chaco,13807
1295,Santa Rosa,Catamarca,13322
1317,Alberti,Buenos Aires,12982
1111,General Pinto,Buenos Aires,12941
1061,Adolfo Gonzales Chaves,Buenos Aires,12914
1117,Magallanes,Santa Cruz,12911
1507,General Belgrano,Chaco,12807
1404,Salavina,Santiago del Estero,12787
1436,San Miguel,Corrientes,12713
1102,Gaiman,Chubut,12639
1372,General Alvear,Buenos Aires,12631
1232,Lago Buenos Aires,Santa Cruz,12606
1546,9 de Julio,San Juan,12514
1208,Quebrachos,Santiago del Estero,12354
1185,Chapaleufú,La Pampa,12334
1163,La Caldera,Salta,12299
1122,Punta Indio,Buenos Aires,12297
